state,x,y
Jammu Kashmir,-126,221
Himachal Pradesh,-111,172
Punjab,-147,146
Uttarakhand,-66,134
Haryana,-124,114
Rajasthan,-187,65
Uttar Pradesh,-60,73
Madhya Pradesh,-112,-9
Bihar,60,42
Sikkim,125,83
Assam,213,57
Arunachal Pradesh,227,89
Meghalaya,175,36
Tripura,193,9
Mizoram,217,1
Manipur,242,29
Nagaland,255,53
West Bengal,111,-1
Jharkhand,54,2
Chattisgarh,-16,-35
Odisha,34,-52
Gujrat,-235,-11
Maharashtra,-152,-81
Telangana,-79,-106
Andhra Pradesh,-92,-154
Kerala,-123,-248
Tamil Nadu,-90,-235
Karnataka,-144,-167
Goa,-175,-148
